Stock Name,Symbol
KOLTE PATIL DEV. LTD.,KOLTEPATIL-EQ
RENAISSANCE GLOBAL LTD,RGL-EQ
KAUSHALYA INFRA DEV LTD.,KAUSHALYA-EQ
COLGATE PALMOLIVE LTD.,COLPAL-EQ
JYOTHY LABS LIMITED,JYOTHYLAB-EQ
THE INDIA CEMENTS LIMITED,INDIACEM-EQ
MADHAV MARBLE & GRANITE,MADHAV-EQ
KALYANI FORGE LIMITED,KALYANIFRG-EQ
ROBUST HOTELS LIMITED,RHL-EQ
HITECH CORPORATION LTD,HITECHCORP-EQ
TRANS & RECTI. LTD,TARIL-EQ
ECLERX SERVICES LTD,ECLERX-EQ
KIRLOSKAR PNEUMATIC COM L,KIRLPNU-EQ
BRIGADE ENTER. LTD,BRIGADE-EQ
MANAKSIA LTD.,MANAKSIA-EQ
ARIES AGRO LTD.,ARIES-EQ
INDIA GLYCOLS LTD,INDIAGLYCO-EQ
DHUNSERI VENTURES LIMITED,DVL-EQ
PATEL INT. LOG. LTD,PATINTLOG-EQ
UJJIVAN SMALL FINANC BANK,UJJIVANSFB-EQ
AMBIKA COTTON MILL LTD.,AMBIKCO-EQ
ADITYA BIRLA MONEY LTD,BIRLAMONEY-EQ
CEAT LIMITED,CEATLTD-EQ
JKUMAR INFR.LTD.,JKIL-EQ
CORDS CABLE INDUS LTD.,CORDSCABLE-EQ
ONMOBILE GLOBAL LTD.,ONMOBILE-EQ
KNR CONSTRU LTD.,KNRCON-EQ
VIRINCHI LIMITED,VIRINCHI-EQ
INDIAN HUME PIPE CO. LTD.,INDIANHUME-EQ
BANG OVERSEAS LTD.,BANG-EQ
SEPC LIMITED,SEPC-EQ
IRB INFRA DEV LTD.,IRB-EQ
NMDC LTD.,NMDC-EQ
RAIN INDUSTRIES LIMITED,RAIN-EQ
SHALIM PAINTS LTD,SHALPAINTS-EQ
GSS INFOTECH LIMITED,GSS-EQ
REC LIMITED,RECLTD-EQ
NAHAR CAP & FIN.,NAHARCAP-EQ
V-GUARD IND LTD.,VGUARD-EQ
PUDUMJEE PAPER PRO. LTD,PDMJEPAPER-EQ
MANKIND PHARMA LIMITED,MANKIND-EQ
DHANI SERVICES LIMITED,DHANI-EQ
RACE ECO CHAIN LIMITED,RACE-EQ
EIH ASSOCIATED HOTELS LTD,EIHAHOTELS-EQ
APCOTEX INDUSTRIES LIMITE,APCOTEXIND-EQ
ATAM VALVES LIMITED,ATAM-EQ
NESCO LTD.,NESCO-EQ
TITAGARH RAIL SYSTEMS LTD,TITAGARH-EQ
DPSC LIMITED,DPSCLTD-EQ
ANDHRA CEMENTS LIMITED,ACL-EQ
RKEC PROJECTS LIMITED,RKEC-EQ
HEALTHCARE GLOB. ENT. LTD,HCG-EQ
AVG LOGISTICS LIMITED,AVG-EQ
ATAL REALTECH LIMITED,ATALREAL-EQ
RAVINDER HEIGHTS LIMITED,RVHL-EQ
APOLLO HOSPITALS ENTER. L,APOLLOHOSP-EQ
GMM PFAUDLER LIMITED,GMMPFAUDLR-EQ
GILLETTE INDIA LTD,GILLETTE-EQ
TARC LIMITED,TARC-EQ
HINDWARE HME INOVATON LTD,HINDWAREAP-EQ
MANGALAM GLOBAL ENT LTD,MGEL-EQ
INFOSYS LIMITED,INFY-EQ
INGERSOLL-RAND INDIA LTD,INGERRAND-EQ
PRINCE PIPES FITTINGS LTD,PRINCEPIPE-EQ
GODHA CABCON INSULAT LTD,GODHA-EQ
BHARAT WIRE ROPES LTD.,BHARATWIRE-EQ
FAIRCHEM ORGANICS LIMITED,FAIRCHEMOR-EQ
PAVNA INDUSTRIES LIMITED,PAVNAIND-EQ
TATA INVESTMENT CORP LTD,TATAINVEST-EQ
INDIAN OIL CORP LTD,IOC-EQ
INFIBEAM AVENUES LIMITED,INFIBEAM-EQ
LINDE INDIA LIMITED,LINDEINDIA-EQ
MRS BECTORS FOOD SPE LTD,BECTORFOOD-EQ
APOLLO TYRES LTD,APOLLOTYRE-EQ
ION EXCHANGE (INDIA) LTD,IONEXCHANG-EQ
IPCA LABORATORIES LTD,IPCALAB-EQ
MMP INDUSTRIES LIMITED,MMP-EQ
VAISHALI PHARMA LIMITED,VAISHALI-EQ
ANDHRA PAPER LIMITED,ANDHRAPAP-EQ
ITC LTD,ITC-EQ
SUNDROP BRANDS LIMITED,SUNDROP-EQ
KIRI INDUSTRIES LIMITED,KIRIINDUS-EQ
ANIK INDUSTRIES LTD,ANIKINDS-EQ
BAJAJ AUTO LIMITED,BAJAJ-AUTO-EQ
BAJAJ FINSERV LTD.,BAJAJFINSV-EQ
PTC INDUSTRIES LIMITED,PTCIL-EQ
DIGISPICE TECHNOLOGIES LT,DIGISPICE-EQ
GHCL TEXTILES LIMITED,GHCLTEXTIL-EQ
GOKUL REFOILS & SOLV LTD,GOKUL-EQ
UNITED BREWERIES LTD,UBL-EQ
ALMONDZ GLOBAL SEC LTD,ALMONDZ-EQ
H.G.INFRA ENGINEERING LTD,HGINFRA-EQ
RPG LIFE SCIENCES LTD,RPGLIFE-EQ
M K PROTEINS LIMITED,MKPL-EQ
ITI LTD,ITI-EQ
GE VERNOVA T&D INDIA LTD,GVT&D-EQ
ARCHIDPLY IND. LTD,ARCHIDPLY-EQ
LOTUS EYE HOSP & INST L,LOTUSEYE-EQ
IVP LTD,IVP-EQ
IKIO TECHNOLOGIES LIMITED,IKIO-EQ
KOKUYO CAMLIN LIMITED,KOKUYOCMLN-EQ
SINDHU TRADE LINKS LTD,SINDHUTRAD-EQ
LANDMARK PR.DEV.CO.LTD,LPDC-EQ
D P WIRES LIMITED,DPWIRES-EQ
TOUCHWOOD ENTERTAIN LTD.,TOUCHWOOD-EQ
ARTEMIS MED SERVICE LTD,ARTEMISMED-EQ
ZF COM VE CTR SYS IND LTD,ZFCVINDIA-EQ
20 MICRONS LTD,20MICRONS-EQ
JOCIL LIMITED,JOCIL-EQ
INDBANK MERCH BANK,INDBANK-EQ
ASHOKA METCAST LIMITED,ASHOKAMET-EQ
ALKALI METALS LTD,ALKALI-EQ
GACM TECHNOLOGIES LIMITED,GATECHDVR-EQ
MAWANA SUGARS LIMITED,MAWANASUG-EQ
PATANJALI FOODS LIMITED,PATANJALI-EQ
THYROCARE TECH LTD,THYROCARE-EQ
HMA AGRO INDUSTRIES LTD,HMAAGRO-EQ
JAY BHARAT MARUTI LTD,JAYBARMARU-EQ
CROMPT GREA CON ELEC LTD,CROMPTON-EQ
SUMITOMO CHEM INDIA LTD,SUMICHEM-EQ
PARAG MILK FOODS LTD.,PARAGMILK-EQ
IDEAFORGE TECHNO LTD,IDEAFORGE-EQ
AARTECH SOLONICS LIMITED,AARTECH-EQ
SHRIRAM PIST. & RING LTD,SHRIPISTON-EQ
CYIENT DLM LIMITED,CYIENTDLM-EQ
PAKKA LIMITED,PAKKA-EQ
JAYSHREE TEA & INDUSTRIES,JAYSREETEA-EQ
ALBERT DAVID LIMITED,ALBERTDAVD-EQ
J B CHEMICALS AND PHARMA,JBCHEPHARM-EQ
ARMAN FIN SERV LTD,ARMANFIN-EQ
ASPINWALL & CO LTD,ASPINWALL-EQ
SENCO GOLD LIMITED,SENCO-EQ
BLS INTL SERVS LTD,BLS-EQ
AJMERA REALTY & INF I LTD,AJMERA-EQ
LLOYDS METALS N ENERGY L,LLOYDSME-EQ
MAHINDRA HOLIDAYS LTD,MHRIL-EQ
SALONA COTSPIN LTD.,SALONA-EQ
GKW LIMITED,GKWLIMITED-EQ
UTKARSH SMALL FIN BANK L,UTKARSHBNK-EQ
VINATI ORGANICS LTD,VINATIORGA-EQ
EXCEL REALTY N INFRA LTD,EXCEL-EQ
ADANI POWER LTD,ADANIPOWER-EQ
PREMIER EXPLOSIVES LTD,PREMEXPLN-EQ
NHPC LTD,NHPC-EQ
GLOBUS SPIRITS LTD,GLOBUSSPR-EQ
NETWEB TECH INDIA LTD,NETWEB-EQ
OIL INDIA LTD,OIL-EQ
CONTROL PRINT LIMITED,CONTROLPR-EQ
EXPLEO SOLUTIONS LIMITED,EXPLEOSOL-EQ
RATTANINDIA POWER LIMITED,RTNPOWER-EQ
MAHANAGAR GAS LTD.,MGL-EQ
DAMODAR INDUSTRIES LTD,DAMODARIND-EQ
AMRUTAJAN HEALTH LTD,AMRUTANJAN-EQ
JINDAL POLY FILMS LIMITED,JINDALPOLY-EQ
ASSO ALCOHOLS & BREW LTD,ASALCBR-EQ
MAHINDRA EPC IRRIG LTD,MAHEPC-EQ
MOLD-TEK TECHNOLOGIES LTD,MOLDTECH-EQ
ZYDUS WELLNESS LIMITED,ZYDUSWELL-EQ
SUNTECK REALTY LIMITED,SUNTECK-EQ
POKARNA LIMITED,POKARNA-EQ
UNIVERSUS IMAGINGS LTD,UNIVPHOTO-EQ
ALOK INDUSTRIES LIMITED,ALOKINDS-EQ
GPT INFRAPROJECTS LTD,GPTINFRA-EQ
VIJI FINANCE LIMITED,VIJIFIN-EQ
QUESS CORP LIMITED,QUESS-EQ
DEN NETWORKS LTD,DEN-EQ
ASTEC LIFESCIENCES LTD,ASTEC-EQ
YATHARTH HOSP & TRA C S L,YATHARTH-EQ
NIIT LEARNING SYSTEMS LTD,NIITMTS-EQ
SARDA ENERGY & MIN LTD,SARDAEN-EQ
REFEX INDUSTRIES LIMITED,REFEX-EQ
ALLCARGO TERMINALS LTD,ATL-EQ
SOMI CONVEYOR BELT. LTD.,SOMICONVEY-EQ
TRANSINDIA REAL ESTATE L,TREL-EQ
LLOYDS ENGG WORK LIMITED,LLOYDSENGG-EQ
LTIMINDTREE LIMITED,LTIM-EQ
AHLUWALIA CONT IND LTD,AHLUCONT-EQ
GILLANDERS ARBUTHNOT LTD,GILLANDERS-EQ
D-LINK INDIA LTD,DLINKINDIA-EQ
REDTAPE LIMITED,REDTAPE-EQ
JSW ENERGY LIMITED,JSWENERGY-EQ
GODREJ PROPERTIES LTD,GODREJPROP-EQ
D.B.CORP LTD,DBCORP-EQ
ABBOTT INDIA LIMITED,ABBOTINDIA-EQ
GEEKAY WIRES LIMITED,GEEKAYWIRE-EQ
BAYER CROPSCIENCE LTD,BAYERCROP-EQ
BEARDSELL LIMITED,BEARDSELL-EQ
HINDUSTAN COPPER LTD,HINDCOPPER-EQ
COHANCE LIFESCIENCES LTD,COHANCE-EQ
NESTLE INDIA LIMITED,NESTLEIND-EQ
ANTONY WASTE HDG CELL LTD,AWHCL-EQ
SBI CARDS & PAY SER LTD,SBICARD-EQ
TRF LIMITED,TRF-EQ
UNITED NILGIRI TEA LTD,UNITEDTEA-EQ
WHIRLPOOL OF INDIA LTD,WHIRLPOOL-EQ
JYOTI STRUCTURES LTD,JYOTISTRUC-EQ
SBFC FINANCE LIMITED,SBFC-EQ
MBL INFRASTRUCTURE LTD,MBLINFRA-EQ
ADVANCED ENZYME TECH LTD,ADVENZYMES-EQ
MINDTECK (INDIA) LIMITED,MINDTECK-EQ
CONCORD BIOTECH LIMITED,CONCORDBIO-EQ
KAJARIA CERAMICS LTD,KAJARIACER-EQ
DILIP BUILDCON LIMITED,DBL-EQ
JUBILANT FOODWORKS LTD,JUBLFOOD-EQ
RAJDARSHAN INDUSTRIES LTD,ARENTERP-EQ
KAKATIYA CEM SUGAR &IND L,KAKATCEM-EQ
VASCON ENGINEERS LTD,VASCONEQ-EQ
THANGAMAYIL JEWELLERY LTD,THANGAMAYL-EQ
SRG HOUSING FINANCE L,SRGHFL-EQ
VALOR ESTATE LIMITED,DBREALTY-EQ
YASHO INDUSTRIES LIMITED,YASHO-EQ
DOLPHIN OFF ENT (IND) L,DOLPHIN-EQ
KALPATARU PROJECT INT LTD,KPIL-EQ
EMMBI INDUSTRIES LIMITED,EMMBI-EQ
JIO FIN SERVICES LTD,JIOFIN-EQ
TVS SUPPLY CHAIN SOL L,TVSSCS-EQ
HATHWAY CABLE & DATACOM,HATHWAY-EQ
ORIENT PRESS LIMITED,ORIENTLTD-EQ
TEXMO PIPE & PRODUCTS LTD,TEXMOPIPES-EQ
KIRLOSKAR ELECTRIC CO LTD,KECL-EQ
MAN INFRA LTD,MANINFRA-EQ
LORDS CHLORO ALKALI LTD,LORDSCHLO-EQ
PYRAMID TECHNOPLAST LTD,PYRAMID-EQ
S. P. APPARELS LIMITED,SPAL-EQ
KAMAT HOTELS (I) LTD,KAMATHOTEL-EQ
AEROFLEX INDUSTRIES LTD,AEROFLEX-EQ
LG BALAKRISHNAN & BROS,LGBBROSLTD-EQ
VISHNU PRAKASH R PUNGLI L,VPRPL-EQ
KANORIA CHEMICALS & INDUS,KANORICHEM-EQ
SANDUR MANG & IRON ORES L,SANDUMA-EQ
PERSISTENT SYSTEMS LTD,PERSISTENT-EQ
NAGA DHUNSERI GROUP LTD,NDGL-EQ
KARUR VYSYA BANK LTD,KARURVYSYA-EQ
RBL BANK LIMITED,RBLBANK-EQ
TCPL PACKAGING LIMITED,TCPLPACK-EQ
KCP LTD,KCP-EQ
RISHABH INSTRUMENTS LTD,RISHABH-EQ
RATNAVEER PRECISION ENG L,RATNAVEER-EQ
BIGBLOC CONSTRUCTION LTD,BIGBLOC-EQ
HITACHI ENERGY INDIA LTD,POWERINDIA-EQ
INTRASOFT TECH. LTD,ISFT-EQ
CUPID LIMITED,CUPID-EQ
DIAMOND POWER INFRA LTD,DIACABS-EQ
JUPITER LIFE LINE HOSP L,JLHL-EQ
MITTAL LIFE STYLE LIMITED,MITTAL-EQ
L&T TECHNOLOGY SER. LTD.,LTTS-EQ
R R KABEL LIMITED,RRKABEL-EQ
GNA AXLES LIMITED,GNA-EQ
KIRLOSKAR BROTHERS LTD,KIRLOSBROS-EQ
EMS LIMITED,EMSLIMITED-EQ
ZAGGLE PREPA OCEAN SER L,ZAGGLE-EQ
SAMHI HOTELS LIMITED,SAMHI-EQ
DIAMINES & CHEMICALS LTD,DIAMINESQ-EQ
ICICI PRU LIFE INS CO LTD,ICICIPRULI-EQ
MARATHON NXTGEN REALT LTD,MARATHON-EQ
HPL ELECTRIC & POWER LTD,HPL-EQ
NUVAMA WEALTH MANAGE LTD,NUVAMA-EQ
SIGNATUREGLOBAL INDIA LTD,SIGNATURE-EQ
SAI SILKS (KALAMANDIR) L,KALAMANDIR-EQ
YATRA ONLINE LIMITED,YATRA-EQ
CARYSIL LIMITED,CARYSIL-EQ
ENDURANCE TECHNO. LTD.,ENDURANCE-EQ
NIRAJ ISPAT IND LTD,NIRAJISPAT-EQ
MAZDA LIMITED,MAZDA-EQ
SJVN LTD,SJVN-EQ
KALYANI STEELS LIMITED,KSL-EQ
PNB HOUSING FIN LTD.,PNBHOUSING-EQ
VARUN BEVERAGES LIMITED,VBL-EQ
SUNDARAM MULTI PAP LTD,SUNDARAM-EQ
KINGFA SCI & TEC IND LTD.,KINGFA-EQ
RAJRATAN GLOBAL WIRE LTD,RAJRATAN-EQ
KAPSTON SERVICES LIMITED,KAPSTON-EQ
UNIVASTU INDIA LIMITED,UNIVASTU-EQ
STYRENIX PERFORMANCE LTD,STYRENIX-EQ
CUMMINS INDIA LTD,CUMMINSIND-EQ
MANOJ VAIBHAV GEM N JEW L,MVGJL-EQ
JSW INFRASTRUCTURE LTD,JSWINFRA-EQ
KIRLOSKAR INDUSTRIES LTD,KIRLOSIND-EQ
PODDAR PIGMENTS LIMITED,PODDARMENT-EQ
MANAPPURAM FINANCE LTD,MANAPPURAM-EQ
AARVI ENCON LIMITED,AARVI-EQ
SILLY MONKS ENTERTAIN LTD,SILLYMONKS-EQ
N.B.I. IND. FIN. CO. LTD,NBIFIN-EQ
UPDATER SERVICES LIMITED,UDS-EQ
KIOCL LIMITED,KIOCL-EQ
USHA MARTIN EDU & SOL LTD,UMESLTD-EQ
SHEELA FOAM LIMITED,SFL-EQ
KOPRAN LTD,KOPRAN-EQ
TILAKNAGAR INDUSTRIES LTD,TI-EQ
HEADS UP VENTURES LIMITED,HEADSUP-EQ
HINDUSTAN MEDIA VENT LTD,HMVL-EQ
VALIANT LABORATORIES LTD,VALIANTLAB-EQ
KOTAK MAHINDRA BANK LTD,KOTAKBANK-EQ
TCI EXPRESS LIMITED,TCIEXP-EQ
WEALTH FRST PORT. MG. LTD,WEALTH-EQ
LAURUS LABS LIMITED,LAURUSLABS-EQ
INDIAN METALS & FERRO,IMFA-EQ
BLISS GVS PHARMA LTD,BLISSGVS-EQ
THEJO ENGINEERING LIMITED,THEJO-EQ
INDIA TOUR. DEV. CO. LTD.,ITDC-EQ
ARVIND LIMITED,ARVIND-EQ
HISAR METAL IND. LIMITED,HISARMETAL-EQ
BOROSIL LIMITED,BOROLTD-EQ
ROSSARI BIOTECH LIMITED,ROSSARI-EQ
ASIAN HOTELS (EAST) LTD,AHLEAST-EQ
PLAZA WIRES LIMITED,PLAZACABLE-EQ
KSB LIMITED,KSB-EQ
BAJAJ CONSUMER CARE LTD,BAJAJCON-EQ
BHANDARI HOSIERY EXP LTD,BHANDARI-EQ
THE UGAR SUGAR WORKS LTD,UGARSUGAR-EQ
BSE LIMITED,BSE-EQ
IRM ENERGY LIMITED,IRMENERGY-EQ
PRAKASH STEELAGE LTD,PRAKASHSTL-EQ
PRICOL LIMITED,PRICOLLTD-EQ
TRENT LTD,TRENT-EQ
MAX ESTATES LIMITED,MAXESTATES-EQ
BLUE JET HEALTHCARE LTD,BLUEJET-EQ
GUJARAT PIPAVAV PORT LTD,GPPL-EQ
ADF FOODS LIMITED,ADFFOODS-EQ
MUFIN GREEN FINANCE LTD,MUFIN-EQ
LMW LIMITED,LMW-EQ
CELLO WORLD LIMITED,CELLO-EQ
HONASA CONSUMER LIMITED,HONASA-EQ
AMINES & PLASTICIZERS LTD,AMNPLST-EQ
LAXMI GOLDORNA HOUSE LTD,LGHL-EQ
MUSIC BROADCAST LIMITED,RADIOCITY-EQ
ESAF SMALL FINANCE BANK L,ESAFSFB-EQ
MAS FINANCIAL SERV LTD,MASFIN-EQ
AVENUE SUPERMARTS LIMITED,DMART-EQ
ORISSA MIN DEV CO LTD,ORISSAMINE-EQ
DEEPAK NITRITE LTD,DEEPAKNTR-EQ
LIC HOUSING FINANCE LTD,LICHSGFIN-EQ
AHLADA ENGINEERS LIMITED,AHLADA-EQ
SASTASUNDAR VENTURES LTD,SASTASUNDR-EQ
INTENSE TECHNOLOGIES LTD,INTENTECH-EQ
CP CAPITAL LIMITED,CPCAP-EQ
TASTY BITE EATABLES LTD,TASTYBITE-EQ
UNITED DRILLING TOOLS LTD,UNIDT-EQ
ORIENT GREEN POWER CO LTD,GREENPOWER-EQ
RAMKY INFRA LTD,RAMKY-EQ
ASK AUTOMOTIVE LIMITED,ASKAUTOLTD-EQ
ARIHANT SUPERSTRUCT LTD,ARIHANTSUP-EQ
CANTABIL RETAIL LTD,CANTABIL-EQ
AKSHARCHEM INDIA LIMITED,AKSHARCHEM-EQ
LUMAX INDUSTRIES LTD,LUMAXIND-EQ
ASHOKA BUILDCON LTD,ASHOKA-EQ
VA TECH WABAG LTD,WABAG-EQ
BEDMUTHA INDUST LTD,BEDMUTHA-EQ
URJA GLOBAL LIMITED,URJA-EQ
CL EDUCATE LIMITED,CLEDUCATE-EQ
JUPITER WAGONS LIMITED,JWL-EQ
OBEROI REALTY LIMITED,OBEROIRLTY-EQ
INDIAN RENEWABLE ENERGY,IREDA-EQ
LYKA LABS LTD,LYKALABS-EQ
INDIAN RAILWAY FIN CORP L,IRFC-EQ
TATA TECHNOLOGIES LIMITED,TATATECH-EQ
SHAH METACORP LIMITED,SHAH-EQ
ASHAPURA MINECHEM LTD,ASHAPURMIN-EQ
PRESTIGE ESTATE LTD,PRESTIGE-EQ
GANDHAR OIL REFINE IND L,GANDHAR-EQ
MAHINDRA & MAHINDRA LTD,M&M-EQ
N R AGARWAL INDS LTD,NRAIL-EQ
SHANKARA BLDG PRODUCT LTD,SHANKARA-EQ
FEDBANK FINANCIAL SER L,FEDFINA-EQ
RESPONSIVE INDUSTRIES LTD,RESPONIND-EQ
CAPRI GLOBAL CAPITAL LTD,CGCL-EQ
FLAIR WRITING INDUST LTD,FLAIR-EQ
COAL INDIA LTD,COALINDIA-EQ
IOL CHEM AND PHARMA LTD,IOLCP-EQ
ANJANI PORTLAND CEM LTD,APCL-EQ
INDIGO PAINTS LIMITED,INDIGOPNTS-EQ
THE WESTERN INDIA PLY LTD,WIPL-EQ
CHENNAI PETROLEUM CORP LT,CHENNPETRO-EQ
PRUDENTIAL SUGAR CORPORAT,PRUDMOULI-EQ
GRAVITA INDIA LIMITED,GRAVITA-EQ
BARODABNP - BBNPPGOLD,BBNPPGOLD-EQ
DOMS INDUSTRIES LIMITED,DOMS-EQ
INDIA SHELTER FIN CORP L,INDIASHLTR-EQ
HOME FIRST FIN CO IND LTD,HOMEFIRST-EQ
DOLLAR INDUSTRIES LIMITED,DOLLAR-EQ
INOX INDIA LIMITED,INOXINDIA-EQ
SUPERHOUSE LIMITED,SUPERHOUSE-EQ
PENNAR INDUSTRIES LTD,PENIND-EQ
JINDAL WORLDWIDE LTD,JINDWORLD-EQ
S CHAND AND COMPANY LTD,SCHAND-EQ
VARDHMAN TEXTILES LIMITED,VTL-EQ
BHAGYANAGAR INDIA LIMITED,BHAGYANGR-EQ
JAMNA AUTO IND LTD,JAMNAAUTO-EQ
MOTISONS JEWELLERS LTD,MOTISONS-EQ
SURAJ ESTATE DEVELOPERS L,SURAJEST-EQ
HSG & URBAN DEV CORPN LTD,HUDCO-EQ
MOIL LIMITED,MOIL-EQ
MUTHOOT MICROFIN LIMITED,MUTHOOTMF-EQ
MAHARASHTRA SCOOTERS LTD,MAHSCOOTER-EQ
HAPPY FORGINGS LIMITED,HAPPYFORGE-EQ
PSP PROJECTS LIMITED,PSPPROJECT-EQ
CREDO BRANDS MARKETING L,MUFTI-EQ
MAHARASHTRA SEAMLESS LTD,MAHSEAMLES-EQ
AZAD ENGINEERING LIMITED,AZAD-EQ
KIRLOSKAR OIL ENG LTD,KIRLOSENG-EQ
RAVI KUMAR DIST. LTD.,RKDL-EQ
SUNDARAM CLAYTON LIMITED,SUNCLAY-EQ
PUNJAB & SIND BANK,PSB-EQ
MANGALAM CEMENT LTD,MANGLMCEM-EQ
INNOVA CAPTAB LIMITED,INNOVACAP-EQ
STOVE KRAFT LIMITED,STOVEKRAFT-EQ
SURANA SOLAR LIMITED,SURANASOL-EQ
STAR CEMENT LIMITED,STARCEMENT-EQ
BF INVESTMENT LIMITED,BFINVEST-EQ
KALYANI INVEST CO LTD,KICL-EQ
MARAL OVERSEAS LTD,MARALOVER-EQ
TEJAS NETWORKS LIMITED,TEJASNET-EQ
ERIS LIFESCIENCES LIMITED,ERIS-EQ
CENTRAL DEPO SER (I) LTD,CDSL-EQ
GTPL HATHWAY LIMITED,GTPL-EQ
ASHOK LEYLAND LTD,ASHOKLEY-EQ
AU SMALL FINANCE BANK LTD,AUBANK-EQ
MASTEK LTD,MASTEK-EQ
DIGIDRIVE DISTRIBUTORS L,DIGIDRIVE-EQ
SUMMIT SECURITIES LTD,SUMMITSEC-EQ
DYNEMIC PRODUCTS LIMITED,DYNPRO-EQ
JYOTI CNC AUTOMATION LTD,JYOTICNC-EQ
STEEL EXCHANGE INDIA LTD,STEELXIND-EQ
SALASAR TECHNO ENGG. LTD.,SALASAR-EQ
PALASH SECURITIES LTD,PALASHSECU-EQ
MAGADH SUGAR & ENERGY LTD,MAGADSUGAR-EQ
GANGES SECURITIES LIMITED,GANGESSECU-EQ
TATAAML-TATAGOLD,TATAGOLD-EQ
AVADH SUG & ENERGY LTD,AVADHSUGAR-EQ
MAX FINANCIAL SERV LTD,MFSL-EQ
THE INVEST TRUST OF IND L,THEINVEST-EQ
TATAAML-TATSILV,TATSILV-EQ
BHARAT DYNAMICS LIMITED,BDL-EQ
OPTIEMUS INFRACOM LTD,OPTIEMUS-EQ
STEL HOLDINGS LIMITED,STEL-EQ
SIS LIMITED,SIS-EQ
COCHIN SHIPYARD LIMITED,COCHINSHIP-EQ
SMS LIFESCIENCES (I) LTD,SMSLIFE-EQ
COMMERCIAL SYN BAGS LTD,COMSYN-EQ
ADITYA BIRLA CAPITAL LTD.,ABCAPITAL-EQ
APEX FROZEN FOODS LIMITED,APEX-EQ
DIXON TECHNO (INDIA) LTD,DIXON-EQ
MEDI ASSIST HEALTH SER L,MEDIASSIST-EQ
MATRIMONY.COM LIMITED,MATRIMONY-EQ
CHOLAMANDALAM FIN HOL LTD,CHOLAHLDNG-EQ
CAPACITE INFRAPROJECT LTD,CAPACITE-EQ
AKG EXIM LIMITED,AKG-EQ
ICICI LOMBARD GIC LIMITED,ICICIGI-EQ
DAVANGERE SUGAR COMPANY L,DAVANGERE-EQ
SBI LIFE INSURANCE CO LTD,SBILIFE-EQ
BOSCH LIMITED,BOSCHLTD-EQ
TEXMACO RAIL & ENG. LTD.,TEXRAIL-EQ
SUNDARAM FINANCE HOLD LTD,SUNDARMHLD-EQ
PRATAAP SNACKS LIMITED,DIAMONDYD-EQ
HFCL LIMITED,HFCL-EQ
IND TERRAIN FASHIONS LTD,INDTERRAIN-EQ
ACC LIMITED,ACC-EQ
INDIAN ENERGY EXC LTD,IEX-EQ
DHUNSERI INVESTMENTS LTD,DHUNINV-EQ
NDR AUTO COMPONENTS LTD,NDRAUTO-EQ
WORTH PERIPHERALS LIMITED,WORTH-EQ
MADHAV COPPER LIMITED,MCL-EQ
MAX HEALTHCARE INS LTD,MAXHEALTH-EQ
MODERN THREADS INDIA LTD,MODTHREAD-EQ
LOVABLE LINGERIE LTD,LOVABLE-EQ
TOTAL TRANSPORT SYS LTD,TOTAL-EQ
MAX INDIA LIMITED,MAXIND-EQ
EPACK DURABLE LIMITED,EPACK-EQ
NOVA AGRITECH LIMITED,NOVAAGRI-EQ
MOREPEN LAB. LTD,MOREPENLAB-EQ
PTC INDIA FIN SERV LTD,PFS-EQ
BANDHAN BANK LIMITED,BANDHANBNK-EQ
PARKHOTELS,PARKHOTELS-EQ
SIGNPOST INDIA LIMITED,SIGNPOST-EQ
JANA SMALL FIN BANK LTD,JSFB-EQ
RASHI PERIPHERALS LIMITED,RPTECH-EQ
CAPITAL SMALL FIN BANK L,CAPITALSFB-EQ
MOTOR & GENERAL FINANCE L,MOTOGENFIN-EQ
ENTERO HEALTHCARE SOLU L,ENTERO-EQ
VIBHOR STEEL TUBES LTD,VSTL-EQ
IRIS CLOTHINGS LIMITED,IRISDOREME-EQ
MRF LTD,MRF-EQ
JUNIPER HOTELS LIMITED,JUNIPER-EQ
MRPL,MRPL-EQ
GPT HEALTHCARE LIMITED,GPTHEALTH-EQ
HLE GLASCOAT LIMITED,HLEGLAS-EQ
PLATINUM INDUSTRIES LTD,PLATIND-EQ
MAHANAGAR TELEPHONE NIGAM,MTNL-EQ
EXICOM TELE SYSTEMS LTD,EXICOM-EQ
MUKKA PROTEINS LIMITED,MUKKA-EQ
LANCOR HOLDINGS LIMITED,LANCORHOL-EQ
HINDUSTAN AERONAUTICS LTD,HAL-EQ
R K SWAMY LIMITED,RKSWAMY-EQ
J.G.CHEMICALS LIMITED,JGCHEM-EQ
GOPAL SNACKS LIMITED,GOPAL-EQ
MUNJAL SHOWA LTD,MUNJALSHOW-EQ
SHIPPING CORP OF ILA LTD,SCILAL-EQ
MURUDESHWAR CERAMICS LTD,MURUDCERA-EQ
POPULAR VEHICLES N SER L,PVSL-EQ
HEIDELBERGCEMENT (I) LTD,HEIDELBERG-EQ
NCC LIMITED,NCC-EQ
SMC GLOBAL SECURITIES LTD,SMCGLOBAL-EQ
JAYASWAL NECO INDUSTR LTD,JAYNECOIND-EQ
SRM CONTRACTORS LIMITED,SRM-EQ
SINCLAIRS HOTELS LIMITED,SINCLAIR-EQ
BHARTI HEXACOM LIMITED,BHARTIHEXA-EQ
AAKASH EXPLORATION SER L,AAKASH-EQ
