Stock Name,Symbol
DHANLAXMI BANK LIMITED,DHANBANK-EQ
VAIBHAV GLOBAL LIMITED,VAIBHAVGBL-EQ
TTK HEALTHCARE LIMITED,TTKHLTCARE-EQ
BIOCON LIMITED.,BIOCON-EQ
TIPS FILMS LIMITED,TIPSFILMS-EQ
BANK OF MAHARASHTRA,MAHABANK-EQ
UMANG DAIRIES LIMITED,UMANGDAIRY-EQ
GIC HOUSING FINANCE LTD,GICHSGFIN-EQ
ZOTA HEALTH CARE LIMITED,ZOTA-EQ
SALZER ELECTRONICS LTD,SALZERELEC-EQ
POONAWALLA FINCORP LTD,POONAWALLA-EQ
XPRO INDIA LIMITED,XPROINDIA-EQ
RAMKRISHNA FORGINGS LTD,RKFORGE-EQ
DATAMATICS GLOBAL SER LTD,DATAMATICS-EQ
KRITI NUTRIENTS LIMITED,KRITINUT-EQ
SPANDANA SPHOORTY FIN LTD,SPANDANA-EQ
PILANI INV & IND COR LTD,PILANIINVS-EQ
GUJ IND POW CO. LTD,GIPCL-EQ
CCL PRODUCTS (I) LTD,CCL-EQ
EXCEL INDUSTRIES LTD,EXCELINDUS-EQ
KRIDHAN INFRA LIMITED,KRIDHANINF-EQ
LARSEN & TOUBRO LTD.,LT-EQ
APAR INDUSTRIES LTD.,APARINDS-EQ
AMBICA AGAR & AROMAINDLTD,AMBICAAGAR-EQ
CENTURY EXTRUSIONS LTD,CENTEXT-EQ
NIIT LIMITED,NIITLTD-EQ
GLAXOSMITHKLINE PHARMA LT,GLAXO-EQ
ELECTRONICS MART IND LTD,EMIL-EQ
ULTRATECH CEMENT LIMITED,ULTRACEMCO-EQ
TATA CONSULTANCY SERV LT,TCS-EQ
COFORGE LIMITED,COFORGE-EQ
TEXMACO INFRA & HOLDG LTD,TEXINFRA-EQ
DC INFOTECH AND COMUN LTD,DCI-EQ
PIRAMAL PHARMA LIMITED,PPLPHARMA-EQ
FORCE MOTORS LIMITED,FORCEMOT-EQ
WESTLIFE FOODWORLD LTD,WESTLIFE-EQ
GP PETROLEUMS LIMITED,GULFPETRO-EQ
TRACXN TECHNOLOGIES LTD,TRACXN-EQ
LINCOLN PHARMA LTD,LINCOLN-EQ
IND-SWIFT LIMITED,INDSWFTLTD-EQ
GUFIC BIOSCIENCES LTD.,GUFICBIO-EQ
ASTRA MICROWAVE LTD,ASTRAMICRO-EQ
GTL LTD,GTL-EQ
WELSPUN ENTERPRISES LTD.,WELENT-EQ
NARMADA AGROBASE LIMITED,NARMADA-EQ
NTPC LTD,NTPC-EQ
S.A.L. STEEL LTD.,SALSTEEL-EQ
NEWGEN SOFTWARE TECH LTD,NEWGEN-EQ
KOTHARI SUG & CHEM LTD.,KOTARISUG-EQ
DR. LAL PATH LABS LTD.,LALPATHLAB-EQ
JBM AUTO LIMITED,JBMA-EQ
DWARIKESH SUGAR IND LTD,DWARKESH-EQ
INDOCO REMEDIES LTD.,INDOCO-EQ
G M BREWERIES LTD,GMBREW-EQ
SUPRAJIT ENGINEERING LTD,SUPRAJIT-EQ
PATEL ENGINEERING LTD.,PATELENG-EQ
ALKEM LABORATORIES LTD.,ALKEM-EQ
XCHANGING SOLUTIONS LTD,XCHANGING-EQ
JSW STEEL LIMITED,JSWSTEEL-EQ
CONSO. FIN. & HOLD. LTD.,CONSOFINVT-EQ
GUJ NAR VAL FER & CHEM L,GNFC-EQ
JAIPRAKASH POWER VEN. LTD,JPPOWER-EQ
GOKALDAS EXPORTS LTD.,GOKEX-EQ
ACE INTEGRATED SOLU. LTD.,ACEINTEG-EQ
EVEREADY INDS. IND.  LTD.,EVEREADY-EQ
GOYAL ALUMINIUMS LIMITED,GOYALALUM-EQ
SAKSOFT LIMITED,SAKSOFT-EQ
HINDPRAKASH INDUSTRY LTD,HPIL-EQ
ALLDIGI TECH LIMITED,ALLDIGI-EQ
SUKHJIT STARCH & CHEM LTD,SUKHJITS-EQ
IIFL FINANCE LIMITED,IIFL-EQ
GODFREY PHILLIPS INDIA LT,GODFRYPHLP-EQ
SHOPPERS STOP LIMITED,SHOPERSTOP-EQ
MANGALAM DRUG & CHEM LTD,MANGALAM-EQ
WELSPUN CORP LIMITED,WELCORP-EQ
STEEL STRIPS WHEELS LTD.,SSWL-EQ
NARAYANA HRUDAYALAYA LTD.,NH-EQ
CYBER MEDIA (INDIA) LTD.,CYBERMEDIA-EQ
AMBER ENTERPRISES (I) LTD,AMBER-EQ
SURYALAKSHMI COT MIL LTD,SURYALAXMI-EQ
SHAH ALLOYS LIMITED,SHAHALLOYS-EQ
GLAND PHARMA LIMITED,GLAND-EQ
JK PAPER LIMITED,JKPAPER-EQ
PRIME SECURITIES LIMITED,PRIMESECU-EQ
63 MOONS TECHNOLOGIES LTD,63MOONS-EQ
GRANULES INDIA LIMITED,GRANULES-EQ
MAN INDUSTRIES (I) LTD.,MANINDS-EQ
VARDHMAN HOLDINGS LIMITED,VHL-EQ
DCX SYSTEMS LIMITED,DCXINDIA-EQ
GEOJIT FINANCIAL SER L,GEOJITFSL-EQ
FEDERAL-MOGUL GOETZE (IND,FMGOETZE-EQ
GENUS POWER INFRASTRU LTD,GENUSPOWER-EQ
YES BANK LIMITED,YESBANK-EQ
MSP STEEL & POWER LTD.,MSPL-EQ
NECTAR LIFESCIENCES LTD.,NECLIFE-EQ
FUSION FINANCE LIMITED,FUSION-EQ
MCLEOD RUSSEL INDIA LTD.,MCLEODRUSS-EQ
GLOBAL HEALTH LIMITED,MEDANTA-EQ
KANSAI NEROLAC PAINTS LTD,KANSAINER-EQ
SEMAC CONSULTANTS LIMITED,SEMAC-EQ
BIKAJI FOODS INTERN LTD,BIKAJI-EQ
GOLDIAM INTERNATIONAL LTD,GOLDIAM-EQ
RANE (MADRAS) LIMITED,RML-EQ
SASKEN TECHNOLOGIES LTD,SASKEN-EQ
INDO COUNT INDUSTRIES LTD,ICIL-EQ
FCS SOFTWARE SOLN. LTD.,FCSSOFT-EQ
FAZE THREE LIMITED,FAZE3Q-EQ
IND MOTOR PART & ACC LTD,IMPAL-EQ
SAT INDUSTRIES LIMITED,SATINDLTD-EQ
SUZLON ENERGY LIMITED,SUZLON-EQ
AURIONPRO SOLN LTD,AURIONPRO-EQ
ARCHEAN CHEMICAL IND LTD,ACI-EQ
SHREE RENUKA SUGARS LTD,RENUKA-EQ
FIVE-STAR BUS FIN LTD,FIVESTAR-EQ
BANNARI AM SPIN MILL LTD.,BASML-EQ
SHEETAL COOL PRODUCTS LTD,SCPL-EQ
KAYNES TECHNOLOGY IND LTD,KAYNES-EQ
DOLAT ALGOTECH LIMITED,DOLATALGO-EQ
B&B TRIPLEWALL CONT LTD,BBTCL-EQ
HINDUSTAN FOODS LIMITED,HNDFDS-EQ
KEYSTONE REALTORS LIMITED,RUSTOMJEE-EQ
GRASIM INDUSTRIES LTD,GRASIM-EQ
GREAVES COTTON LTD.,GREAVESCOT-EQ
ZIM LABORATORIES LIMITED,ZIMLAB-EQ
GUJ STATE FERT & CHEM LTD,GSFC-EQ
STRLNG & WIL REN ENE LTD,SWSOLAR-EQ
CASTROL INDIA LIMITED,CASTROLIND-EQ
AAA TECHNOLOGIES LIMITED,AAATECH-EQ
PRECISION CAMSHAFTS LTD.,PRECAM-EQ
OSIA HYPER RETAIL LIMITED,OSIAHYPER-EQ
GUJARAT ALKALIES & CHEM,GUJALKALI-EQ
MADHYA BHARAT AGRO P. LTD,MBAPL-EQ
AMBUJA CEMENTS LTD,AMBUJACEM-EQ
TEAMLEASE SERVICES LTD.,TEAMLEASE-EQ
DJ MEDIAPRINT & LOG LTD,DJML-EQ
ROUTE MOBILE LIMITED,ROUTE-EQ
KRISHANA PHOSCHEM LIMITED,KRISHANA-EQ
GFL LIMITED,GFLLIMITED-EQ
SARVESHWAR FOODS LIMITED,SARVESHWAR-EQ
TATAAML - NPBET,NPBET-EQ
ABB INDIA LIMITED,ABB-EQ
SAFARI IND (INDIA) LTD,SAFARI-EQ
UNIPARTS INDIA LIMITED,UNIPARTS-EQ
360 ONE WAM LIMITED,360ONE-EQ
IIFL CAPITAL SERVICES LTD,IIFLCAPS-EQ
TRIVENI ENGG. & INDS. LTD,TRIVENI-EQ
AIA ENGINEERING LIMITED,AIAENG-EQ
EVEREST KANTO CYLINDERLTD,EKC-EQ
VIMTA LABS LIMITED,VIMTALABS-EQ
NAHAR INDS ENT LTD,NAHARINDUS-EQ
ORIENT CERATECH LIMITED,ORIENTCER-EQ
QUICK HEAL TECH LTD,QUICKHEAL-EQ
REPRO INDIA LIMITED,REPRO-EQ
HARRISON MALAYALAM LTD,HARRMALAYA-EQ
PVR INOX LIMITED,PVRINOX-EQ
GALAXY SURFACTANTS LTD,GALAXYSURF-EQ
CELEBRITY FASHIONS LTD,CELEBRITY-EQ
NITIN SPINNERS LIMITED,NITINSPIN-EQ
ROYAL ORCHID HOTELS LTD,ROHLTD-EQ
ENTERTAIN NET. IND. LTD.,ENIL-EQ
GUJARAT STATE PETRO LTD,GSPL-EQ
JAGRAN PRAKASHAN LIMITED,JAGRAN-EQ
SULA VINEYARDS LIMITED,SULA-EQ
KEC INTL. LIMITED,KEC-EQ
JK CEMENT LIMITED,JKCEMENT-EQ
INDO TECH TRANSFORM LTD.,INDOTECH-EQ
LANDMARK CARS LIMITED,LANDMARK-EQ
M&M FIN. SERVICES LTD,M&MFIN-EQ
ABANS FINANCIAL SRVCS LTD,AFSL-EQ
B.L.KASHYAP & SON LTD,BLKASHYAP-EQ
NITCO LIMITED,NITCO-EQ
INDIABULLS ENT LTD,IEL-EQ
CENTURY PLYBOARDS (I) LTD,CENTURYPLY-EQ
KEI INDUSTRIES LTD.,KEI-EQ
HDFC BANK LTD,HDFCBANK-EQ
SOLAR INDUSTRIES (I) LTD,SOLARINDS-EQ
GALLANTT ISPAT LIMITED,GALLANTT-EQ
MALU PAPER MILLS LIMITED,MALUPAPER-EQ
KFIN TECHNOLOGIES LIMITED,KFINTECH-EQ
HEG LTD,HEG-EQ
STL GLOBAL LIMITED,SGL-EQ
UTTAM SUGAR MILLS LTD.,UTTAMSUGAR-EQ
SOM DIST & BREW LTD,SDBL-EQ
KEWAL KIRAN CLOTHING LTD,KKCL-EQ
BHAGERIA INDUSTRIES LTD,BHAGERIA-EQ
SUN TV NETWORK LIMITED,SUNTV-EQ
GODAWARI POW & ISP LTD,GPIL-EQ
R SYS INTERNATIONAL LTD,RSYSTEMS-EQ
KELLTON TECH SOL LTD,KELLTONTEC-EQ
BAL PHARMA LTD.,BALPHARMA-EQ
RATNAMANI MET & TUB LTD.,RATNAMANI-EQ
KAMDHENU LIMITED,KAMDHENU-EQ
PIONEER EMBROIDERIES LTD,PIONEEREMB-EQ
HERO MOTOCORP LIMITED,HEROMOTOCO-EQ
JK LAKSHMI CEMENT LTD,JKLAKSHMI-EQ
PRIME FOCUS LIMITED,PFOCUS-EQ
ALLCARGO LOGISTICS LTD,ALLCARGO-EQ
AKASH INFRA-PROJECTS LTD,AKASH-EQ
MUNJAL AUTO IND. LTD.,MUNJALAU-EQ
EMAMI LIMITED,EMAMILTD-EQ
NORTH EAST CARRY CORP LTD,NECCLTD-EQ
GMR AIRPORTS LIMITED,GMRAIRPORT-EQ
VIDHI SPCLTY F INGRDNTS L,VIDHIING-EQ
TECH MAHINDRA LIMITED,TECHM-EQ
GRINDWELL NORTON LIMITED,GRINDWELL-EQ
VOLTAMP TRANSFORMERS LTD,VOLTAMP-EQ
RADIANT CASH MGMT SER LTD,RADIANTCMS-EQ
ATLANTAA LIMITED,ATLANTAA-EQ
ACTION CONST EQUIP LTD,ACE-EQ
SELAN EXPLO. TECH LTD,SELAN-EQ
ANDHRA SUGARS LTD,ANDHRSUGAR-EQ
HIMATSINGKA SEIDE LTD,HIMATSEIDE-EQ
INDIAN RAIL TOUR CORP LTD,IRCTC-EQ
ANANT RAJ LIMITED,ANANTRAJ-EQ
